#timestamp,#frame_is_ok,#U1,#current1,#activepow1
1732551013.329414081,true,227.4,3.3,752.1
1732551013.339595737,true,227.4,3.3,752.1
1732551013.349412855,true,227.4,3.3,752.1
1732551013.359611774,true,227.4,3.3,756.3
1732551013.369409053,true,226.7,3.3,751.5
1732551013.379597601,true,227.4,3.3,756.3
1732551013.389324932,true,227.4,3.3,756.3
1732551013.399595989,true,227.6,3.3,757.1
1732551013.409324865,true,227.6,3.3,757.1
1732551013.419595700,true,227.6,3.3,757.1
1732551013.429334406,true,226.9,3.3,752.2
1732551013.439503417,true,227.6,3.3,749.9
1732551013.449248642,true,227.6,3.3,749.9
1732551013.459495409,true,227.6,3.3,749.9
1732551013.469245779,true,226.9,3.3,745.1
1732551013.479496669,true,227.6,3.3,745.5
1732551013.489597042,true,227.6,3.3,745.5
1732551013.499405259,true,227.6,3.3,745.5
1732551013.509734972,true,226.8,3.3,740.8
1732551013.519415699,true,227.6,3.4,759.3
1732551013.529734824,true,227.6,3.4,759.3
1732551013.539324076,true,227.6,3.4,759.3
1732551013.549595105,true,226.9,3.3,754.5
1732551013.559320961,true,227.6,3.4,761.8
1732551013.569595112,true,226.9,3.4,756.9
1732551013.579319921,true,227.6,3.4,761.8
1732551013.589596148,true,227.6,3.4,761.8
1732551013.599251967,true,227.6,3.3,747.2
1732551013.609502572,true,226.9,3.3,742.4
1732551013.619244169,true,227.6,3.3,747.2
1732551013.629494781,true,227.6,3.3,747.2
1732551013.639163511,true,227.5,3.4,760.5
1732551013.649406928,true,227.5,3.4,760.5
1732551013.659737256,true,227.5,3.4,760.5
1732551013.669407376,true,226.8,3.3,755.6
1732551013.679735326,true,227.5,3.3,753.8
1732551013.689403741,true,227.5,3.3,753.8
1732551013.699593832,true,227.5,3.3,753.8
1732551013.709327305,true,227.5,3.3,753.8
1732551013.719594333,true,227.5,3.3,755.2
1732551013.729319134,true,226.8,3.3,750.4
1732551013.739593387,true,227.5,3.3,755.2
1732551013.749322866,true,227.5,3.3,755.2
1732551013.759498902,true,227.5,3.3,745.0
1732551013.769233851,true,227.5,3.3,745.0
1732551013.779499278,true,227.5,3.3,745.0
1732551013.789234520,true,227.5,3.3,745.0
1732551013.799498941,true,227.5,3.3,742.3
1732551013.809150977,true,226.8,3.3,737.5
1732551013.819410499,true,227.5,3.3,742.3
1732551013.829158293,true,227.5,3.3,742.3
1732551013.839403001,true,227.7,3.3,746.0
1732551013.849731363,true,227.7,3.3,746.0
1732551013.859406489,true,227.7,3.3,746.0
1732551013.869593841,true,226.9,3.3,741.3
1732551013.879322942,true,227.6,3.3,741.5
1732551013.889592675,true,227.6,3.3,741.5
1732551013.899322569,true,227.6,3.3,741.5
1732551013.909592959,true,227.6,3.3,741.5
1732551013.919237705,true,227.6,3.3,745.9
1732551013.929494942,true,226.8,3.3,741.2
1732551013.939234345,true,227.6,3.3,745.9
1732551013.949493186,true,227.6,3.3,745.9
1732551013.959240973,true,227.5,3.4,761.6
1732551013.969409061,true,226.8,3.4,756.7
1732551013.979162709,true,227.5,3.4,761.6
1732551013.989411992,true,227.5,3.4,761.6
1732551013.999162396,true,226.8,3.3,753.5
1732551014.009406851,true,227.5,3.3,758.3
1732551014.019073741,true,227.5,3.3,758.3
1732551014.029329446,true,227.5,3.3,758.3
1732551014.039593290,true,227.5,3.3,756.9
1732551014.049316790,true,226.8,3.3,752.1
1732551014.059592749,true,227.5,3.3,756.9
1732551014.069321484,true,227.5,3.3,756.9
1732551014.079497054,true,227.6,3.3,745.1
1732551014.089242086,true,227.6,3.3,745.1
1732551014.099486000,true,227.6,3.3,745.1
1732551014.109245391,true,226.9,3.3,740.4
1732551014.119499801,true,227.6,3.3,747.9
1732551014.129153615,true,227.6,3.3,747.9
1732551014.139405003,true,227.6,3.3,747.9
1732551014.149157794,true,226.9,3.3,743.1
1732551014.159414252,true,227.6,3.4,759.1
1732551014.169161543,true,227.6,3.4,759.1
1732551014.179329302,true,227.6,3.4,759.1
1732551014.189069010,true,227.6,3.4,759.1
1732551014.199328665,true,227.4,3.3,758.4
1732551014.209072792,true,226.7,3.3,753.6
1732551014.219317743,true,227.4,3.3,758.4
1732551014.228993362,true,227.4,3.3,758.4
1732551014.239240022,true,227.6,3.3,745.6
1732551014.249484201,true,227.6,3.3,745.6
1732551014.259244361,true,227.6,3.3,745.6
